k	L	method	density	density_std	runtime	runtime_std		
50	80	random	0.0615985	0.00111173	0.038	0.000774597	0	0
50	80	decycling	0.0614041	0.00350239	0.5145	0.00434166	0	0
50	80	double	0.0526568	0.000210716	0.6668	0.0026	0	0
50	90	random	0.0482872	0.00186316	0.0376	0.0008	0	0
50	90	decycling	0.0433828	0.00169546	0.5121	0.00314484	0	0
50	90	double	0.0386421	8.33225E-05	0.6653	0.0020025	0	0
50	100	random	0.0389718	0.0019469	0.037	0.00141421	0	0
50	100	decycling	0.0333112	0.000382424	0.5115	0.00382753	0	0
50	100	double	0.029975	2.28456E-05	0.6645	0.0019105	0	0
50	110	random	0.0325829	0.0017135	0.0365	0.000921954	0	0
50	110	decycling	0.0269255	0.000134057	0.5102	0.00315595	0	0
50	110	double	0.0251571	1.02392E-05	0.6683	0.0022383	0	0
50	120	random	0.0281827	0.0013994	0.0364	0.00135647	0	0
50	120	decycling	0.0227487	5.56558E-05	0.5088	0.00213542	0	0
50	120	double	0.0219082	1.74945E-05	0.664	0.00178885	0	0
50	130	random	0.0250678	0.00132661	0.0357	0.000640312	0	0
50	130	decycling	0.0199761	3.02694E-05	0.509	0.00306594	0	0
50	130	double	0.0195989	2.68145E-05	0.668	0.00252982	0	0
50	140	random	0.0219844	0.000701999	0.0355	0.000921954	0	0
50	140	decycling	0.0179462	2.52584E-05	0.509	0.00306594	0	0
50	140	double	0.0177923	2.20925E-05	0.6645	0.00120416	0	0
50	150	random	0.0195589	0.000311656	0.0353	0.0009	0	0
50	150	decycling	0.0163788	1.35524E-05	0.5086	0.0032311	0	0
50	150	double	0.0163297	1.50843E-05	0.6669	0.00151327	0	0
50	160	random	0.0178652	0.000252638	0.0348	0.0004	0	0
50	160	decycling	0.0151028	9.93584E-06	0.5092	0.00267582	0	0
50	160	double	0.0150799	1.16609E-05	0.6637	0.00161555	0	0
50	170	random	0.0168514	0.000873363	0.035	0.000774597	0	0
50	170	decycling	0.0140325	1.26562E-05	0.5085	0.00323265	0	0
50	170	double	0.0140264	1.04248E-05	0.6637	0.00148661	0	0
50	180	random	0.0152373	0.000373692	0.0347	0.000458258	0	0
50	180	decycling	0.0131205	9.79279E-06	0.5083	0.00293428	0	0
50	180	double	0.0131195	9.94247E-06	0.6701	0.0180358	0	0
