k	L	method	density	density_std	runtime	runtime_std	maxbin	maxbin_std
100	370	double	0.00638061	3.83338E-06	28.7201	0.624309	271	0
100	380	random	0.00707267	5.35803E-05	0.614	0.0256827	281	0
100	380	decycling	0.00618257	9.12132E-06	21.7789	0.047492	281	0
100	380	double	0.00618197	9.06038E-06	28.8572	0.841805	281	0
100	390	random	0.00679594	3.14532E-05	0.6214	0.0518772	291	0
100	390	decycling	0.00599708	0.000007493	21.7473	0.0355642	291	0
100	390	double	0.00599937	9.28432E-06	28.5207	0.0225258	291	0
100	400	random	0.0066938	0.000289922	0.6231	0.051374	301	0
100	400	decycling	0.00582395	8.62985E-06	21.7899	0.0372598	301	0
100	400	double	0.0058254	1.19499E-05	28.7715	0.461643	301	0
100	410	random	0.00636473	2.09116E-05	0.6168	0.0407549	311	0
100	410	decycling	0.00565938	7.97426E-06	21.7434	0.0360949	311	0
100	410	double	0.0056593	7.55708E-06	28.6029	0.202535	311	0
100	420	random	0.00622558	7.18065E-05	0.6234	0.0536604	321	0
100	420	decycling	0.00549808	1.07865E-05	21.8527	0.221497	321	0
100	420	double	0.00550287	0.000005794	28.5946	0.0578086	321	0
100	430	random	0.00601467	3.16504E-05	0.6213	0.054573	331	0
100	430	decycling	0.00535301	1.05925E-05	21.7611	0.0696584	331	0
100	430	double	0.00535335	7.17154E-06	28.5423	0.0570282	331	0
100	440	random	0.0058269	3.61343E-05	0.6231	0.0576775	341	0
100	440	decycling	0.00521974	8.46713E-06	21.8064	0.0779951	341	0
100	440	double	0.00521752	0.000008034	28.5488	0.0408994	341	0
100	450	random	0.00569418	9.01866E-05	0.6228	0.0577664	351	0
100	450	decycling	0.00507981	1.14018E-05	21.7465	0.0225666	351	0
100	450	double	0.00508449	8.20754E-06	28.5537	0.0374915	351	0
100	460	random	0.00549028	3.24624E-05	0.6224	0.0595755	361	0
100	460	decycling	0.00495831	1.34173E-05	21.9053	0.0725811	361	0
100	460	double	0.00495928	6.83616E-06	28.5322	0.0271765	361	0
100	470	random	0.00535264	3.54725E-05	0.6212	0.0596084	371	0
100	470	decycling	0.00483786	8.67228E-06	21.7589	0.0570131	371	0
100	470	double	0.00484199	8.72891E-06	28.6162	0.205839	371	0
100	480	random	0.00525571	0.000156579	0.6243	0.0603855	381	0
100	480	decycling	0.00472235	6.45065E-06	22.1379	0.575901	381	0
100	480	double	0.00472529	6.04823E-06	29.1511	0.812755	381	0
100	490	random	0.00511641	9.84554E-05	0.623	0.0630079	391	0
100	490	decycling	0.00461755	6.93433E-06	21.8343	0.0850224	391	0
100	490	double	0.00461772	6.68977E-06	28.7163	0.451944	391	0
