k	L	method	density	density_std				
11	100	decycling_set	0.0212816	0.00015593	0.1165	0.00320156	0	0
11	100	pasha	0.0218611	0.000429716	0.1193	0.00195192	0	0
11	100	docks	0.0215798	0.000289273	0.1163	0.00286531	0	0
11	110	random	0.0202276	0.000818844	0.0669	0.00151327	0	0
11	110	decycling	0.0192596	0.000110235	0.2846	0.0012	0	0
11	110	double	0.0193614	0.000379988	0.3346	0.00135647	0	0
11	110	decycling_set	0.0192903	5.26983E-05	0.1172	0.0006	0	0
11	110	pasha	0.0196881	0.000329303	0.1239	0.00280891	0	0
11	110	docks	0.0195688	0.000314057	0.119	0.00126491	0	0
11	120	random	0.0183475	0.000304517	0.0663	0.000640312	0	0
11	120	decycling	0.0176943	0.000197929	0.2888	0.0111247	0	0
11	120	double	0.0177335	0.000110238	0.3357	0.000458258	0	0
11	120	decycling_set	0.0177375	0.000286568	0.1169	0.00277308	0	0
11	120	pasha	0.0177585	0.00023419	0.1184	0.00261534	0	0
11	120	docks	0.0177642	0.000255289	0.1182	0.00362767	0	0
11	130	random	0.0170761	0.000644647	0.066	0.000894427	0	0
11	130	decycling	0.0161528	0.000137806	0.2888	0.0130905	0	0
11	130	double	0.0163214	0.000226069	0.3347	0.0011	0	0
11	130	decycling_set	0.0164092	0.000206007	0.1181	0.000943398	0	0
11	130	pasha	0.016618	0.000448195	0.1184	0.000916515	0	0
11	130	docks	0.0165848	0.000279971	0.1185	0.00196214	0	0
11	140	random	0.0160029	0.00112971	0.0657	0.00148661	0	0
11	140	decycling	0.0150345	0.00019916	0.2885	0.0118764	0	0
11	140	double	0.015018	9.24596E-05	0.3338	0.000979796	0	0
11	140	decycling_set	0.0149711	0.000278558	0.1129	0.0027	0	0
11	140	pasha	0.0152263	0.000158721	0.1177	0.000781025	0	0
11	140	docks	0.0150319	0.000297259	0.1158	0.00231517	0	0
11	150	random	0.0143468	0.000228513	0.0654	0.000663325	0	0
11	150	decycling	0.0142492	0.000197262	0.2855	0.00257876	0	0
11	150	double	0.014112	0.000195692	0.3355	0.0015	0	0
11	150	decycling_set	0.0141414	0.000185625	0.1142	0.000748331	0	0
11	150	pasha	0.014092	0.000263461	0.1167	0.00228254	0	0
11	150	docks	0.0140691	0.000112573	0.1181	0.00151327	0	0
11	160	random	0.0135031	0.000460369	0.0653	0.00100499	0	0
11	160	decycling	0.0132003	0.000196212	0.2891	0.0117597	0	0
11	160	double	0.013164	0.000196039	0.3347	0.000781025	0	0
11	160	decycling_set	0.0130128	0.000207079	0.1138	0.00404475	0	0
11	160	pasha	0.0131597	0.000288365	0.1167	0.0030348	0	0
11	160	docks	0.0130956	0.000111378	0.116	0.00334664	0	0
11	170	random	0.013137	0.000562501	0.0685	0.000921954	0	0
11	170	decycling	0.0124266	0.000137429	0.2845	0.00220227	0	0
11	170	double	0.0123215	7.69066E-05	0.3344	0.000663325	0	0
11	170	decycling_set	0.0123452	9.62127E-05	0.1163	0.00134536	0	0
11	170	pasha	0.0124888	0.000174643	0.1169	0.00273679	0	0
11	170	docks	0.0123339	0.000101054	0.1176	0.0008	0	0
11	180	random	0.0119351	0.000180808	0.0649	0.000538516	0	0
11	180	decycling	0.011656	0.000146655	0.2844	0.0032619	0	0
11	180	double	0.0116938	0.000111503	0.3345	0.000921954	0	0
11	180	decycling_set	0.0117355	0.000229841	0.1159	0.00104403	0	0
11	180	pasha	0.0117717	0.000210588	0.1175	0.0010247	0	0
11	180	docks	0.0116678	9.54428E-05	0.1161	0.00207123	0	0
11	190	random	0.0114248	0.000515652	0.0651	0.00104403	0	0
11	190	decycling	0.010982	0.000156102	0.2846	0.00253772	0	0
11	190	double	0.0109621	0.000219587	0.334	0.000447214	0	0
11	190	decycling_set	0.0109528	0.000103483	0.115	0.00189737	0	0
11	190	pasha	0.0110824	0.000105657	0.1172	0.0004	0	0
11	190	docks	0.011118	0.000169204	0.1168	0.000979796	0	0
11	200	random	0.0107464	0.000313516	0.0647	0.000640312	0	0
11	200	decycling	0.0105258	0.000155527	0.2876	0.0111553	0	0
11	200	double	0.0103427	0.000182665	0.3336	0.000916515	0	0
11	200	decycling_set	0.010594	0.00023864	0.1168	0.000748331	0	0
11	200	pasha	0.0105006	0.000192474	0.12	0.00118322	0	0
11	200	docks	0.0105134	0.000151602	0.1156	0.00287054	0	0
11	15	random	0.336783	0.0151181	0.1164	0.0051614	0	0
11	15	decycling	0.335357	0.0179637	0.3292	0.00376298	0	0
11	15	double	0.308798	0.00143146	0.3677	0.00464866	0	0
11	15	decycling_set	0.34046	0.0186364	0.1676	0.00233238	0	0
7	100	random	0.0215317	0.000511969	0.0671	0.0003	0	0
7	100	decycling	0.0211764	0.000251488	0.2502	0.00577581	0	0
7	100	double	0.0211187	0.000470273	0.2563	0.0021	0	0
7	100	decycling_set	0.0212028	0.000687467	0.0962	0.00166132	0	0
7	100	docks	0.0210562	0.0001379	0.0967	0.000458258	0	0
8	100	random	0.0221455	0.000570332	0.0675	0.000806226	0	0
8	100	decycling	0.0213643	0.000548511	0.2636	0.00346987	0	0
8	100	double	0.0212468	0.00032536	0.2781	0.00122066	0	0
8	100	decycling_set	0.0212745	0.000550525	0.094	0.000774597	0	0
8	100	docks	0.0210149	0.000170969	0.0938	0.0006	0	0
9	100	random	0.0220101	0.000424953	0.0718	0.0014	0	0
